molecule_chembl_id,canonical_smiles,bioactivity_class,MolWt,MolLogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL185238,Cc1cccc(-c2n[nH]cc2-c2ccc3ncccc3n2)n1,inactive,287.3260000000001,3.3903200000000018,1,4,4.795880017344075
CHEMBL371694,CC(C)(C)c1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,active,295.361,4.575300000000004,1,2,6.045757490560675
CHEMBL200259,OCc1cccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)c1,intermediate,327.387,4.298000000000003,2,3,5.79997073344623
CHEMBL68215,Oc1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1,active,313.36000000000007,4.511300000000003,2,3,6.4698003017969175
CHEMBL200863,CC(C)(CNC(=O)Nc1ccc(Cl)cc1)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,active,496.3980000000002,6.250400000000004,4,4,7.886056647693163
CHEMBL381447,CC(C)(CNS(C)(=O)=O)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,active,420.9220000000001,3.3245000000000013,3,5,7.853871964321762
CHEMBL426476,CN(C)CCCNC(=O)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,active,399.88200000000006,3.1792000000000007,3,5,7.3979400086720375
CHEMBL200889,CC(C)(CN)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,active,342.83000000000004,3.734000000000001,3,4,8.221848749616356
CHEMBL200320,NCc1ccc(-c2nc(-c3ccc(Cl)c(O)c3)c(-c3ccncc3)[nH]2)cc1,active,376.84700000000004,4.623400000000003,3,4,8.096910013008056
CHEMBL200118,Oc1cc(-c2[nH]cnc2-c2ccncc2)ccc1Cl,active,271.707,3.497700000000001,2,3,7.481486060122112
CHEMBL371952,Oc1cc(-c2[nH]c(-c3ccco3)nc2-c2ccncc2)ccc1Cl,active,337.7660000000001,4.7577000000000025,2,4,7.886056647693163
CHEMBL381250,Oc1cc(-c2[nH]c(-c3cccnc3)nc2-c2ccncc2)ccc1Cl,active,348.793,4.559700000000001,2,4,8.221848749616356
CHEMBL200172,CC(C)(C)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,active,327.815,4.795200000000004,2,3,7.920818753952375
CHEMBL373011,Oc1cc(-c2nc(-c3ccccc3)[nH]c2-c2ccncc2)ccc1Cl,active,347.80500000000006,5.1647000000000025,2,3,8.0
CHEMBL200114,COc1cc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc(OC)c1OC,intermediate,394.4310000000002,3.871400000000002,2,7,5.455931955649724
CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,active,464.83100000000013,5.549700000000003,3,4,7.337242168318426
CHEMBL274738,CC(=O)Nc1cccc(-c2cncc(NCc3ccc(F)c(Cl)c3)n2)c1,inactive,370.815,4.506600000000003,2,4,4.00436480540245
CHEMBL199588,CC(=O)Nc1cccc(-c2cncc(NCc3ccoc3)n2)c1,inactive,308.341,3.307100000000001,2,5,4.481486060122113
CHEMBL440761,CC(=O)Nc1cccc(-c2cncc(NCc3cccc(F)c3)n2)c1,intermediate,336.37,3.853200000000002,2,4,5.096910013008056
CHEMBL199892,COc1cc(CNc2cncc(-c3cccc(NC(C)=O)c3)n2)cc(OC)c1OC,inactive,408.4580000000002,3.7399000000000022,2,7,4.0
CHEMBL198400,COc1ccc(OCCNc2cncc(-c3cccc(NC(C)=O)c3)n2)cc1,inactive,378.43200000000013,3.6015000000000024,2,6,4.236572006437063
CHEMBL200964,CC(=O)Nc1cccc(-c2cncc(NCCOc3ccccc3)n2)c1,inactive,348.406,3.592900000000002,2,5,4.187086643357144
CHEMBL200130,CC(=O)Nc1cccc(-c2cncc(NCCCc3ccccc3)n2)c1,inactive,346.43399999999997,4.146700000000003,2,4,4.0
CHEMBL372149,CC(=O)Nc1cccc(-c2cncc(NCCc3ccccc3)n2)c1,inactive,332.407,3.7566000000000015,2,4,4.346787486224656
CHEMBL199800,CC(=O)Nc1cccc(-c2cncc(NCc3ccccc3)n2)c1,inactive,318.38,3.714100000000002,2,4,4.7447274948966935
CHEMBL433992,CC(=O)Nc1cccc(-c2cncc(NCc3ccccn3)n2)c1,inactive,319.368,3.1091000000000006,2,5,4.0
CHEMBL382262,CC(=O)Nc1cccc(-c2cncc(NCc3cc(C)[nH]n3)n2)c1,inactive,322.372,2.7456200000000006,3,5,4.853871964321762
CHEMBL201625,CC(=O)Nc1cccc(-c2cncc(NCc3cc(C)on3)n2)c1,intermediate,323.35600000000005,3.0105200000000014,2,6,5.376750709602099
CHEMBL201576,CC(=O)Nc1cccc(-c2cncc(NCc3ccc4c(c3)OCO4)n2)c1,intermediate,362.3890000000001,3.442800000000001,2,6,5.42021640338319
CHEMBL370112,CC(=O)Nc1cccc(-c2cncc(NCc3ccc4c(c3)OCCO4)n2)c1,inactive,376.41600000000017,3.4853000000000014,2,6,4.468521082957745
CHEMBL381275,CC(=O)Nc1cccc(-c2cncc(Nc3nc(C(C)(C)C)cs3)n2)c1,inactive,367.47800000000007,4.599600000000003,2,6,4.698970004336019
CHEMBL199948,CC(=O)Nc1cccc(-c2cncc(Nc3cc(Cl)nc(Cl)c3)n2)c1,active,374.23100000000005,4.547400000000001,2,5,6.022276394711152
CHEMBL199811,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)C(=O)OC4)n2)c1,active,360.37300000000016,3.516000000000001,2,6,6.130768280269024
CHEMBL199605,CC(=O)Nc1cccc(-c2cncc(Nc3cccc4c3OC(F)(F)C(F)(F)O4)n2)c1,inactive,434.3490000000001,4.802400000000001,2,6,4.0
CHEMBL200075,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OC(F)(F)O4)n2)c1,inactive,384.3420000000001,4.167100000000001,2,6,4.431798275933005
CHEMBL373242,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OC(F)(F)C(F)(F)O4)n2)c1,inactive,434.3490000000001,4.802400000000001,2,6,4.4089353929735005
CHEMBL199281,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OCCCO4)n2)c1,intermediate,376.4160000000002,4.006900000000002,2,6,5.346787486224656
CHEMBL199833,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OCCO4)n2)c1,intermediate,362.3890000000002,3.6168000000000013,2,6,5.267606240177032
CHEMBL371958,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OCO4)n2)c1,inactive,348.36200000000014,3.574300000000001,2,6,5.0
CHEMBL383374,CC(=O)Nc1cccc(-c2cncc(Nc3ccc(N4CCOCC4)cc3)n2)c1,inactive,389.45900000000023,3.6822000000000017,2,6,5.0
CHEMBL200080,CC(=O)Nc1cccc(-c2cncc(Nc3ccc(S(=O)(=O)N4CCOCC4)cc3)n2)c1,intermediate,453.5240000000003,2.866500000000001,2,7,5.055517327849832
CHEMBL198244,CC(=O)Nc1cccc(-c2cncc(Nc3cccc(-c4cnco4)c3)n2)c1,active,371.4000000000001,4.500600000000003,2,6,6.102372908709558
CHEMBL198348,CC(=O)Nc1cccc(-c2cncc(Nc3ccc(F)c(Cl)c3)n2)c1,inactive,356.78800000000007,4.638100000000002,2,4,4.0
CHEMBL378600,CC(=O)Nc1cccc(-c2cncc(Nc3ccc(OC(F)(F)F)cc3)n2)c1,inactive,388.34900000000005,4.744200000000002,2,5,4.075720713938118
CHEMBL199394,CC(=O)Nc1cccc(-c2cncc(Nc3cccc(O)c3)n2)c1,inactive,320.35200000000003,3.5512000000000006,3,5,4.853871964321762
CHEMBL201322,CC(=O)Nc1cccc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,intermediate,338.79800000000006,4.499000000000002,2,4,5.055517327849832
CHEMBL201272,COc1ccc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)c(OC)c1,inactive,364.40500000000014,3.862800000000002,2,6,4.6777807052660805
CHEMBL203093,COc1ccc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc1OC,intermediate,364.40500000000014,3.862800000000002,2,6,5.886056647693163
CHEMBL425577,COc1cc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc(OC)c1,intermediate,364.40500000000014,3.862800000000002,2,6,5.568636235841013
CHEMBL199798,COc1ccc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc1,inactive,334.3790000000001,3.8542000000000014,2,5,4.585026652029182
CHEMBL199355,CC(=O)Nc1cccc(-c2cncc(Nc3cccc(OCCN)c3)n2)c1,intermediate,363.42100000000016,3.1831000000000005,3,6,5.42021640338319
CHEMBL373006,COc1cccc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)c1,intermediate,334.3790000000001,3.8542000000000014,2,5,5.318758762624412
CHEMBL201023,COc1ccccc1Nc1cncc(-c2cccc(NC(C)=O)c2)n1,inactive,334.3790000000001,3.8542000000000014,2,5,4.130768280269024
CHEMBL199805,CC(=O)Nc1cccc(-c2cncc(NN(C)c3ccccc3)n2)c1,inactive,333.39500000000004,3.5653000000000015,2,5,4.0
CHEMBL425576,CC(=O)Nc1cccc(-c2cncc(Nc3ccccc3)n2)c1,intermediate,304.353,3.845600000000001,2,4,5.102372908709558
CHEMBL248051,NC(=O)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,active,426.37900000000013,3.3664000000000014,3,6,7.468521082957745
CHEMBL247250,CNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1,active,462.43800000000016,3.4753000000000007,4,8,7.161150909262744
CHEMBL247798,CCNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1,active,476.46500000000015,3.865400000000002,4,8,6.913640169325252
CHEMBL247797,CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc(SC(F)(F)F)cc3)cnn2C)cn1,active,479.48800000000006,4.042700000000002,4,7,6.812479279163537
CHEMBL247619,CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc4c(c3)OC(F)(F)C(F)(F)O4)cnn2C)cn1,active,509.42000000000013,3.387600000000001,4,8,6.718966632752273
CHEMBL247618,CNC(=O)c1cc(CNc2ccsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,active,446.4350000000002,3.688600000000002,3,7,7.214670164989233
CHEMBL247435,CNC(=O)c1cc(CNc2c(C(=O)Nc3ccc4c(c3)OC(F)(F)O4)cnn2C)ccn1,active,444.3980000000001,2.3606,3,8,6.701146923590294
CHEMBL392600,O=C(Nc1ccc2c(c1)OC(F)(F)C(F)(F)O2)c1ncsc1NCc1ccncc1,intermediate,440.37800000000004,4.359300000000002,2,7,5.591760034688151
CHEMBL247434,CNC(=O)c1cc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)C(F)(F)O3)ccn1,active,497.4300000000002,3.7189000000000014,3,8,6.716698771296451
CHEMBL247248,CNC(=O)c1cc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,intermediate,447.4230000000002,3.0836000000000006,3,8,5.906578314837765
CHEMBL395705,O=C(NCc1ccccc1)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,active,531.5190000000002,5.5892000000000035,4,6,6.634512015109101
CHEMBL399571,O=C(Nc1ccc2c(c1)CCC2)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,active,557.5570000000001,6.400200000000003,4,6,7.1938200260161125
CHEMBL397345,O=C(Nc1ccccc1)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,active,517.4920000000002,5.911500000000002,4,6,7.4089353929735005
CHEMBL247793,CCNC(=O)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,active,469.44800000000015,4.408900000000002,4,6,7.045757490560675
CHEMBL394503,CNC(=O)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,active,455.4210000000001,4.0188000000000015,4,6,7.619788758288394
